seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	854533	854772	240	*	X000031	100130417	852953	854817	1865	-	0	inside	44	LINC02593
chr1	854953	855237	285	*	X000032	100130417	852953	854817	1865	-	135	upstream	135	LINC02593
chr1	856044	856178	135	*	X000033	100130417	852953	854817	1865	-	1226	upstream	1226	LINC02593
chr1	856198	856362	165	*	X000034	100130417	852953	854817	1865	-	1380	upstream	1380	LINC02593
chr1	856434	856490	57	*	X000035	100130417	852953	854817	1865	-	1616	upstream	1616	LINC02593
chr1	856726	856793	68	*	X000036	100130417	852953	854817	1865	-	1908	upstream	1908	LINC02593
chr1	858444	858672	229	*	X000039	148398	860530	879961	19432	+	1857	upstream	1857	SAMD11
chr1	858834	859152	319	*	X000040	148398	860530	879961	19432	+	1377	upstream	1377	SAMD11
chr1	860248	860284	37	*	X000041	148398	860530	879961	19432	+	245	upstream	245	SAMD11
chr1	894403	894584	182	*	X000080	339451	895967	901099	5133	+	1382	upstream	1382	KLHL17
chr1	894403	894584	182	*	X000080	26155	879583	894679	15097	-	0	inside	94	NOC2L
chr1	917245	917382	138	*	X000086	84808	910579	917473	6895	-	0	inside	90	PERM1
chr1	917638	917772	135	*	X000087	84808	910579	917473	6895	-	164	upstream	164	PERM1
chr1	918148	918267	120	*	X000088	84808	910579	917473	6895	-	674	upstream	674	PERM1
chr1	918403	918507	105	*	X000089	84808	910579	917473	6895	-	929	upstream	929	PERM1
chr1	919168	919512	345	*	X000090	84808	910579	917473	6895	-	1694	upstream	1694	PERM1
chr1	948637	948756	120	*	X000093	9636	948847	949919	1073	+	90	upstream	90	ISG15
chr1	1009760	1010136	377	*	X000104	401934	1007126	1009687	2562	-	72	upstream	72	RNF223
chr1	1010407	1010614	208	*	X000105	401934	1007126	1009687	2562	-	719	upstream	719	RNF223
chr1	1053639	1053758	120	*	X000106	54991	1017198	1051736	34539	-	1902	upstream	1902	C1orf159
chr1	1107446	1107655	210	*	X000114	254173	1109286	1133313	24028	+	1630	upstream	1630	TTLL10
chr1	1108512	1108646	135	*	X000115	254173	1109286	1133313	24028	+	639	upstream	639	TTLL10
chr1	1108962	1109200	239	*	X000116	254173	1109286	1133313	24028	+	85	upstream	85	TTLL10
chr1	1109261	1109380	120	*	X000117	254173	1109286	1133313	24028	+	0	overlapStart	0	TTLL10
chr1	1141397	1141962	566	*	X000155	8784	1138888	1142089	3202	-	0	inside	126	TNFRSF18
chr1	1142178	1142537	360	*	X000156	8784	1138888	1142089	3202	-	88	upstream	88	TNFRSF18
chr1	1143699	1143776	78	*	X000157	8784	1138888	1142089	3202	-	1609	upstream	1609	TNFRSF18
chr1	1143882	1144033	152	*	X000158	8784	1138888	1142089	3202	-	1792	upstream	1792	TNFRSF18
chr1	1384440	1384756	317	*	X000168	219293	1385069	1405538	20470	+	312	upstream	312	ATAD3C
chr1	1406879	1406976	98	*	X000171	83858	1407164	1444689	37526	+	187	upstream	187	ATAD3B
chr1	1510384	1510548	165	*	X000173	29101	1477053	1510262	33210	-	121	upstream	121	SSU72
chr1	1535944	1536372	429	*	X000184	643988	1533388	1535476	2089	-	467	upstream	467	FNDC10
chr1	1536493	1536512	20	*	X000185	643988	1533388	1535476	2089	-	1016	upstream	1016	FNDC10
chr1	1845457	1845621	165	*	X000188	163688	1846266	1848733	2468	+	644	upstream	644	CALML6
chr1	1845637	1845771	135	*	X000189	163688	1846266	1848733	2468	+	494	upstream	494	CALML6
chr1	1846057	1846554	498	*	X000190	163688	1846266	1848733	2468	+	0	overlapStart	0	CALML6
chr1	1935016	1935180	165	*	X000229	85452	1884752	1935276	50525	-	0	inside	95	CFAP74
chr1	1935373	1935735	363	*	X000230	85452	1884752	1935276	50525	-	96	upstream	96	CFAP74
chr1	1936421	1936526	106	*	X000231	85452	1884752	1935276	50525	-	1144	upstream	1144	CFAP74
chr1	1949026	1949175	150	*	X000237	2563	1950768	1962192	11425	+	1592	upstream	1592	GABRD
chr1	1950147	1950446	300	*	X000238	2563	1950768	1962192	11425	+	321	upstream	321	GABRD
chr1	2158152	2158175	24	*	X000282	6497	2160134	2241652	81519	+	1958	upstream	1958	SKI
chr1	2283952	2284083	132	*	X000331	100129534	2281853	2284100	2248	-	0	inside	16	LOC100129534
chr1	2405710	2405864	155	*	X000428	9651	2407754	2436969	29216	+	1889	upstream	1889	PLCH2
chr1	2405905	2406199	295	*	X000429	9651	2407754	2436969	29216	+	1554	upstream	1554	PLCH2
chr1	2406226	2406268	43	*	X000430	9651	2407754	2436969	29216	+	1485	upstream	1485	PLCH2
chr1	2406755	2406763	9	*	X000431	9651	2407754	2436969	29216	+	990	upstream	990	PLCH2
chr1	2406772	2406915	144	*	X000432	9651	2407754	2436969	29216	+	838	upstream	838	PLCH2
chr1	2406920	2407159	240	*	X000433	9651	2407754	2436969	29216	+	594	upstream	594	PLCH2
chr1	2407265	2407650	386	*	X000434	9651	2407754	2436969	29216	+	103	upstream	103	PLCH2
chr1	2407670	2407805	136	*	X000435	9651	2407754	2436969	29216	+	0	overlapStart	0	PLCH2
chr1	2407895	2407984	90	*	X000436	9651	2407754	2436969	29216	+	0	inside	140	PLCH2
chr1	2458702	2458851	150	*	X000481	55229	2439975	2458035	18061	-	666	upstream	666	PANK4
chr1	2458942	2459196	255	*	X000482	55229	2439975	2458035	18061	-	906	upstream	906	PANK4
chr1	2459317	2459571	255	*	X000483	55229	2439975	2458035	18061	-	1281	upstream	1281	PANK4
chr1	2459789	2459991	203	*	X000484	55229	2439975	2458035	18061	-	1753	upstream	1753	PANK4
chr1	2462096	2462113	18	*	X000486	388585	2460184	2461684	1501	-	411	upstream	411	HES5
chr1	2462167	2462301	135	*	X000487	388585	2460184	2461684	1501	-	482	upstream	482	HES5
chr1	2462324	2462563	240	*	X000488	388585	2460184	2461684	1501	-	639	upstream	639	HES5
chr1	2462654	2462908	255	*	X000489	388585	2460184	2461684	1501	-	969	upstream	969	HES5
chr1	2463427	2463591	165	*	X000490	388585	2460184	2461684	1501	-	1742	upstream	1742	HES5
chr1	2565306	2565424	119	*	X000552	79258	2522081	2564481	42401	-	824	upstream	824	MMEL1
chr1	3043874	3043942	69	*	X000834	100422968	3044539	3044599	61	+	596	upstream	596	MIR4251
chr1	3477289	3477361	73	*	X000959	693135	3477260	3477354	95	-	0	overlapStart	0	MIR551A
chr1	3477716	3477826	111	*	X000960	693135	3477260	3477354	95	-	361	upstream	361	MIR551A
chr1	3478271	3478390	120	*	X000961	693135	3477260	3477354	95	-	916	upstream	916	MIR551A
chr1	3478616	3478735	120	*	X000962	693135	3477260	3477354	95	-	1261	upstream	1261	MIR551A
chr1	3478892	3478952	61	*	X000963	693135	3477260	3477354	95	-	1537	upstream	1537	MIR551A
chr1	3527762	3527842	81	*	X001020	1953	3404506	3528059	123554	-	0	inside	216	MEGF6
chr1	3528454	3528616	163	*	X001021	1953	3404506	3528059	123554	-	394	upstream	394	MEGF6
chr1	3528622	3528741	120	*	X001022	1953	3404506	3528059	123554	-	562	upstream	562	MEGF6
chr1	3529057	3529191	135	*	X001023	1953	3404506	3528059	123554	-	997	upstream	997	MEGF6
chr1	3529267	3529431	165	*	X001024	1953	3404506	3528059	123554	-	1207	upstream	1207	MEGF6
chr1	3529462	3529581	120	*	X001025	1953	3404506	3528059	123554	-	1402	upstream	1402	MEGF6
chr1	3529652	3529788	137	*	X001026	1953	3404506	3528059	123554	-	1592	upstream	1592	MEGF6
chr1	3713260	3713348	89	*	X001059	57470	3696784	3713068	16285	-	191	upstream	191	LRRC47
chr1	3816012	3816111	100	*	X001064	100133612	3816968	3833879	16912	+	856	upstream	856	LINC01134
chr1	3816412	3816635	224	*	X001065	100133612	3816968	3833879	16912	+	332	upstream	332	LINC01134
chr1	3816412	3816635	224	*	X001065	339448	3805697	3816857	11161	-	0	inside	221	C1orf174
chr1	3999423	3999542	120	*	X001072	728716	4000672	4012643	11972	+	1129	upstream	1129	LINC01346
chr1	4713482	4713801	320	*	X001228	55966	4715105	4843851	128747	+	1303	upstream	1303	AJAP1
chr1	4714004	4714132	129	*	X001229	55966	4715105	4843851	128747	+	972	upstream	972	AJAP1
chr1	5623989	5624162	174	*	X001296	100616489	5624131	5624203	73	+	0	overlapStart	0	NA
chr1	6240820	6240823	4	*	X001482	26038	6161847	6240194	78348	-	625	upstream	625	CHD5
chr1	6240839	6241003	165	*	X001483	26038	6161847	6240194	78348	-	644	upstream	644	CHD5
chr1	6241697	6241828	132	*	X001484	26038	6161847	6240194	78348	-	1502	upstream	1502	CHD5
chr1	6302952	6302958	7	*	X001487	390992	6304252	6305638	1387	+	1293	upstream	1293	HES3
chr1	6303440	6303559	120	*	X001488	390992	6304252	6305638	1387	+	692	upstream	692	HES3
